uri,artist_name,artist_total_followers,artist_image,genres,popularity
spotify:artist:0NbfKEOTQCcwd6o7wSDOHI,The Game,3894140,https://i.scdn.co/image/ab67616100005174a657aa5506945d264e147244,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78
spotify:artist:3oDbviiivRWhXwIE8hxkVV,The Beach Boys,3580195,https://i.scdn.co/image/ab6761610000517492602f233ce2295748f44603,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",75
spotify:artist:3NPpFNZtSTHheNBaWC82rB,X Ambassadors,2653006,https://i.scdn.co/image/ab676161000051748f08efd0e601988cd94a3d9c,"['modern alternative rock', 'modern rock', 'pop', 'pop rap', 'pop rock', 'rock', 'stomp pop']",76
spotify:artist:19ra5tSw0tWufvUp8GotLo,George Michael,3712424,https://i.scdn.co/image/ab67616100005174f8b74c36ba6c31fc0f58783c,[],76
spotify:artist:3iOvXCl6edW5Um0fXEBRXy,The xx,3829000,https://i.scdn.co/image/ab67616100005174193bce41687d1869f8c7593f,"['downtempo', 'dream pop', 'indietronica']",70
spotify:artist:74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,4079671,https://i.scdn.co/image/ab676161000051748340df48ff7f6fea7003437e,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",76
spotify:artist:7H55rcKCfwqkyDFH9wpKM6,Christina Perri,3254125,https://i.scdn.co/image/ab6761610000517444e7c361649ba5a9dbbdff47,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",75
spotify:artist:74cb3MG0x0BOnYNW1uXYnM,Hillsong UNITED,3357450,https://i.scdn.co/image/ab67616100005174955338e9d0a2662fa21a4a02,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",74
spotify:artist:5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,3933542,https://i.scdn.co/image/ab6761610000517443f5e5cf145e783d5859fb9a,"['alternative metal', 'nu metal', 'post-grunge']",75
spotify:artist:6s22t5Y3prQHyaHWUN1R1C,AJR,2165315,https://i.scdn.co/image/ab676161000051740f3bcc7b3d23e7cbece03012,['modern rock'],78
spotify:artist:50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1280740,https://i.scdn.co/image/ab67616100005174e0c2c39a5bc940f905aa02f3,['pop rap'],73
spotify:artist:4KWTAlx2RvbpseOGMEmROg,R.E.M.,3456982,https://i.scdn.co/image/ab676161000051746334ab6a83196f36475ada7f,"['alternative rock', 'athens indie', 'classic rock', 'permanent wave', 'pop rock', 'rock']",76
spotify:artist:4YXycRbyyAE0wozTk7QMEq,Matoma,687636,https://i.scdn.co/image/ab67616100005174be38ea40ebab8967b2c7a81a,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'tropical house']",72
spotify:artist:4m6ubhNsdwF4psNf3R8kwR,KHEA,3934239,https://i.scdn.co/image/ab6761610000517416d81001af30e58bd1d7de4f,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",80
spotify:artist:1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,2820717,https://i.scdn.co/image/ab67616100005174059569db8ca2f11e5e7cdf16,"['atl hip hop', 'hip hop', 'melodic rap', 'plugg', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",75
spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz,bbno$,1029311,https://i.scdn.co/image/ab676161000051746bca811e558018074bbc1b05,"['canadian hip hop', 'dark trap', 'vapor trap']",78
spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl,Ufo361,1797744,https://i.scdn.co/image/ab67616100005174644a971fd6a129e4105e0a80,"['german cloud rap', 'german hip hop']",76
spotify:artist:4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",3389430,https://i.scdn.co/image/82b1b00bee789f4fefb07756f4d54c411a899e76,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",77
spotify:artist:776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,5549291,https://i.scdn.co/image/ab6761610000517431f6ab67e6025de876475814,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",74
spotify:artist:5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,4824359,https://i.scdn.co/image/ab676161000051745d5605d4692f064bb6b09659,"['banda', 'musica mexicana', 'ranchera']",77
spotify:artist:2dIgFjalVxs4ThymZ67YCE,Stray Kids,7620123,https://i.scdn.co/image/ab67616100005174b6501e0b3fcde145838f4724,"['k-pop', 'k-pop boy group']",85
